,Frame,Mean,Game,Alg,Model,Average Score,Best Score
271,28800000,10809.615384615385,Asterix,Amp Single,1,9752.440121094975,27724.48979591837
272,29200000,19295.535714285714,Asterix,Amp Single,1,10973.566726231411,27724.48979591837
273,29600000,9141.56626506024,Asterix,Amp Single,1,11154.408745995863,27724.48979591837
274,30000000,9950.0,Asterix,Amp Single,1,11475.74895218143,27724.48979591837
275,30400000,13436.231884057972,Asterix,Amp Single,1,12221.543857758943,27724.48979591837
276,30800000,13017.64705882353,Asterix,Amp Single,1,12879.308563641296,27724.48979591837
277,31200000,18139.344262295082,Asterix,Amp Single,1,13431.793714508483,27724.48979591837
278,31600000,13087.323943661971,Asterix,Amp Single,1,13493.695122959189,27724.48979591837
279,32000000,14811.42857142857,Asterix,Amp Single,1,13810.62369438776,27724.48979591837
280,32400000,18439.516129032258,Asterix,Amp Single,1,14012.82092132607,27724.48979591837
281,32800000,13095.945945945947,Asterix,Amp Single,1,14241.453977459129,27724.48979591837
282,33200000,12486.666666666666,Asterix,Amp Single,1,13560.567072697222,27724.48979591837
283,33600000,15500.0,Asterix,Amp Single,1,14196.410446191197,27724.48979591837
284,34000000,24271.69811320755,Asterix,Amp Single,1,15628.580257511954,27724.48979591837
285,34400000,20412.931034482757,Asterix,Amp Single,1,16326.250172554432,27724.48979591837
286,34800000,25667.30769230769,Asterix,Amp Single,1,17591.216235902848,27724.48979591837
287,35200000,22818.75,Asterix,Amp Single,1,18059.15680967334,27724.48979591837
288,35600000,20961.01694915254,Asterix,Amp Single,1,18846.526110222396,27724.48979591837
289,36000000,18429.6875,Asterix,Amp Single,1,19208.35200307954,27724.48979591837
290,36400000,15637.68115942029,Asterix,Amp Single,1,18928.16850611834,27724.48979591837
291,36800000,15103.731343283582,Asterix,Amp Single,1,19128.947045852103,27724.48979591837
292,37200000,21177.678571428572,Asterix,Amp Single,1,19998.048236328297,27724.48979591837
293,37600000,21952.63157894737,Asterix,Amp Single,1,20643.311394223034,27724.48979591837
